t (s),R (m),z (m),z lower limit (m),z upper limit (m),rho pol,rho pol lower limit,rho pol upper limit
2.8021848,1.470556237782317,-0.9075064452899979,-0.9484961173294628,-0.8673819782979652,0.999101996421814,0.9941222071647644,1.0016529560089111
2.8230198,1.4700045509402984,-0.9093622243993776,-0.949334502992027,-0.870213110403531,0.9993013739585876,0.9946942329406738,1.0016446113586426
2.8438548000000003,1.4704953547381372,-0.9096910069517232,-0.9488497340650669,-0.8713491122537321,0.9994333386421204,0.9950044751167297,1.0017069578170776
2.8646898000000003,1.4706014317126797,-0.9102007554411367,-0.9492013917430656,-0.8720220522479818,0.9993888139724731,0.9949557185173035,1.00166916847229
2.8855248000000002,1.47013801601067,-0.9106566319108169,-0.9493775291548725,-0.8727315828021834,0.9993700981140137,0.9950621724128723,1.0016059875488281
2.9063598,1.4701056080307546,-0.9097830732990995,-0.9490273954795677,-0.8713427246735285,0.9993400573730469,0.9950175881385803,1.0015789270401
2.9271948,1.4699834773829603,-0.9093413946834186,-0.9488060144548621,-0.8706781301620813,0.9990631341934204,0.9943481087684631,1.00148606300354
2.9480298,1.4710037804684073,-0.9081373436586693,-0.9547996722727498,-0.862632958356678,0.9991623163223267,0.9934796094894409,1.001744270324707
2.9688648,1.4711310060453817,-0.9080247722629011,-0.9552277649171396,-0.8620123909418188,0.9991841316223145,0.9933943152427673,1.001828908920288
2.9896998000000004,1.4707714789048154,-0.90920228923514,-0.9489395361684628,-0.8703119291009884,0.9992005825042725,0.9946244359016418,1.001559853553772
3.0105348000000003,1.470524413559282,-0.90996369254883,-0.9493947721936962,-0.871365798614347,0.9995703101158142,0.9953526854515076,1.0017642974853516
3.0313698000000002,1.4709383927414175,-0.9106022647111335,-0.949757174597347,-0.8722964992323696,0.9992870688438416,0.9947797656059265,1.0016158819198608
3.0522048,1.4715225821038094,-0.9109445900143367,-0.9499601510758371,-0.8728032985159603,0.999255359172821,0.9947437644004822,1.001570701599121
3.0730398,1.4710059935128936,-0.9112045929698372,-0.9499955464062927,-0.8732584378982238,0.9994468688964844,0.9951285123825073,1.0016623735427856
3.0938748,1.4713324100127392,-0.9101192421114862,-0.949174422289471,-0.8719200791822961,0.9992502331733704,0.9947438836097717,1.0015708208084106
3.1147098,1.4726344317753481,-0.9065175904153988,-0.9536656942956058,-0.860624456154008,0.9989015460014343,0.9928468465805054,1.0017751455307007
3.1355448000000004,1.4722330299786908,-0.9052907367584978,-0.9526526869957491,-0.8591452976179658,0.9988526105880737,0.9927036762237549,1.0017801523208618
3.1563798000000003,1.4729121927798088,-0.9062796876961966,-0.9529464579300141,-0.8608555650326195,0.9989684224128723,0.99297696352005,1.0018227100372314
3.1772148000000002,1.4724722935493053,-0.9089347804362211,-0.9486054615031346,-0.8701830169143433,0.9991348385810852,0.9944285154342651,1.0016177892684937
3.1980498,1.4729054627260132,-0.9092537861354771,-0.9484256311799455,-0.87100221954802,0.9992081522941589,0.9946631193161011,1.0016415119171143
3.2188848,1.4725583765359873,-0.9099257692568513,-0.9490816190256086,-0.8716832009631931,0.9992779493331909,0.9947699904441833,1.0016186237335205
3.2397198,1.4721294606393875,-0.9105439323824887,-0.9491871975946808,-0.8727799606179314,0.9992417097091675,0.9948342442512512,1.0015788078308105
3.2605548000000004,1.4719973214808797,-0.9115114862214158,-0.9501536339958992,-0.8737560503362947,0.9992390275001526,0.9947766065597534,1.0015538930892944
